idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1554782537,priority,2012.80,735.87,['142053903#4_0'],"[':1554782537_0_0', ':1554782537_1_0', ':1554782537_2_0']"
1554782570,right_before_left,2015.84,751.88,"['142053903#3_0', '-142053899#1_0', '-142053903#4_0', '142053899#0_0']","[':1554782570_0_0', ':1554782570_1_0', ':1554782570_2_0', ':1554782570_3_0', ':1554782570_4_0', ':1554782570_5_0', ':1554782570_6_0', ':1554782570_7_0', ':1554782570_8_0', ':1554782570_9_0', ':1554782570_10_0', ':1554782570_11_0', ':1554782570_12_0', ':1554782570_13_0', ':1554782570_14_0', ':1554782570_15_0']"
1554782577,right_before_left,1983.89,757.17,"['-142053899#0_0', '142053893#1_0']","[':1554782577_0_0', ':1554782577_1_0']"
1554782582,dead_end,2058.81,816.58,[],[]
1554782604,dead_end,2149.14,813.38,[],[]
1554782618,priority,1999.81,826.15,['-142053898_0'],[':1554782618_0_0']
1554782624,right_before_left,2024.90,804.54,"['142052138#1_0', '-142053903#0_0', '-142052138#2_0']","[':1554782624_0_0', ':1554782624_1_0', ':1554782624_2_0', ':1554782624_3_0', ':1554782624_4_0', ':1554782624_5_0', ':1554782624_6_0', ':1554782624_7_0', ':1554782624_8_0']"
1554782628,dead_end,1988.27,797.94,[],[]
1554782659,priority,2195.69,774.40,"['219719293#2_0', '-142052143#1_0', '142052143#0_0']","[':1554782659_0_0', ':1554782659_1_0', ':1554782659_2_0', ':1554782659_3_0', ':1554782659_9_0', ':1554782659_10_0', ':1554782659_6_0', ':1554782659_7_0', ':1554782659_11_0']"
1554782664,right_before_left,1968.04,760.09,"['142054670#1_0', '142053893#0_0']","[':1554782664_0_0', ':1554782664_1_0']"
1554787877,priority,2204.59,966.34,"['-119372733#0_0', '142054663#0_0', '142054671#2_0', '-142054663#1_0']","[':1554787877_0_0', ':1554787877_1_0', ':1554787877_2_0', ':1554787877_3_0', ':1554787877_4_0', ':1554787877_12_0', ':1554787877_6_0', ':1554787877_7_0', ':1554787877_8_0', ':1554787877_9_0', ':1554787877_13_0', ':1554787877_14_0']"
1554787882,right_before_left,2196.44,998.20,"['-142054663#2_0', '142054663#1_0']","[':1554787882_0_0', ':1554787882_1_0', ':1554787882_2_0', ':1554787882_3_0', ':1554787882_4_0', ':1554787882_5_0']"
1554787907,dead_end,2168.24,912.62,['142054666_0'],[]
1554787927,priority,1994.87,928.61,['142052138#3_0'],[':1554787927_0_0']
1554787929,right_before_left,2114.22,983.03,"['142054669_0', '142054668_0']","[':1554787929_0_0', ':1554787929_1_0']"
1554787930,dead_end,2001.41,930.80,[],[]
1554787934,right_before_left,2053.05,761.58,"['142053894#0_0', '142054665#1_0']","[':1554787934_0_0', ':1554787934_1_0', ':1554787934_2_0', ':1554787934_3_0']"
1554787952,priority,2179.07,972.92,['142054671#1_0'],"[':1554787952_0_0', ':1554787952_1_0']"
1554787954,right_before_left,1972.67,775.53,"['142054670#0_0', '-142054665#0_0']","[':1554787954_0_0', ':1554787954_1_0', ':1554787954_2_0', ':1554787954_3_0']"
1554787974,dead_end,2104.32,923.43,[],[]
1554787987,priority,2204.35,950.91,['-142054663#0_0'],[':1554787987_0_0']
1554791417,right_before_left,2164.31,975.35,"['142055297_0', '142054671#0_0']","[':1554791417_0_0', ':1554791417_1_0']"
1554791430,priority,2177.87,1020.32,"['142054663#2_0', '142055300#1_0']","[':1554791430_2_0', ':1554791430_1_0']"
1554791448,dead_end,2301.92,1297.56,[],[]
1554791528,priority,2167.82,987.74,['142055300#0_0'],"[':1554791528_0_0', ':1554791528_1_0']"
1554826344,dead_end,2312.97,747.97,[],[]
1554826345,right_before_left,2364.00,617.49,"['142059671#1_0', '142060073_0', '-142059671#2_0']","[':1554826345_0_0', ':1554826345_1_0', ':1554826345_2_0', ':1554826345_3_0', ':1554826345_4_0', ':1554826345_5_0', ':1554826345_6_0', ':1554826345_7_0', ':1554826345_8_0']"
1554826346,dead_end,2253.75,679.93,[],[]
